dataset,algorithm,r2_test,mse_test,symbolic_solution
feynman_III_13_18,AFP,0.9843343463236424,4787.064190064651,False
feynman_III_13_18,AFP,0.9659697639300115,10407.655328018633,False
feynman_III_13_18,AFP,0.980804639072014,5794.371110419758,False
feynman_III_13_18,AFP,0.9983572086860802,499.9899042627092,False
feynman_III_13_18,AFP,0.9992294401412404,234.26043065126984,False
feynman_III_13_18,AFP,0.9700237500985616,9485.88137328981,False
feynman_III_13_18,AFP_FE,0.996253782525482,1145.726411606264,False
feynman_III_13_18,AFP_FE,0.9998470054318294,49.64057408253117,False
feynman_III_13_18,AFP_FE,0.9999670881523072,10.057105229987556,False
feynman_III_13_18,AFP_FE,0.9999999999592768,1.2534207967033067e-05,False
feynman_III_13_18,AFP_FE,0.999999999999708,8.812682306351549e-08,False
feynman_III_13_18,AFP_FE,0.9794234926033464,6488.565046118098,False
feynman_III_13_18,AFP_FE,0.9999999999999616,1.1661741585974216e-08,True
feynman_III_13_18,AFP_FE,0.997447084867068,763.7627755299046,False
feynman_III_13_18,AFP_FE,0.99999999999998,6.079588664661593e-09,True
feynman_III_13_18,AFP_FE,0.9999961150638476,1.2293747085122646,False
feynman_III_13_18,AIFeynman,1.0,1.03261234653865e-22,True
feynman_III_13_18,AIFeynman,1.0,9.819808453968964e-23,True
feynman_III_13_18,AIFeynman,1.0,9.855806805675488e-23,True
feynman_III_13_18,AIFeynman,-0.718006760165115,528783.9488340835,False
feynman_III_13_18,AIFeynman,1.0,1.0111636963308524e-22,True
feynman_III_13_18,AIFeynman,1.0,9.842634552654826e-23,True
feynman_III_13_18,AIFeynman,1.0,1.016784984414112e-22,True
feynman_III_13_18,AIFeynman,1.0,9.751669719658069e-23,True
feynman_III_13_18,BSR,0.567681787923888,136326.57795625477,False
feynman_III_13_18,BSR,0.4785491879414458,169189.78219878557,False
feynman_III_13_18,BSR,0.6518065609502773,106399.92289666904,False
feynman_III_13_18,BSR,-0.6918273437077389,517420.91449539,False
feynman_III_13_18,BSR,0.7234914961050851,83467.71351499567,False
feynman_III_13_18,BSR,0.5839091842150212,126638.85265653976,False
feynman_III_13_18,BSR,0.640555273869488,109275.9704278106,False
feynman_III_13_18,BSR,0.4829642610131741,163614.18462637343,False
feynman_III_13_18,DSR,0.9606322698781476,12773.242520579,False
feynman_III_13_18,DSR,0.9588517208678478,12975.636755935431,False
feynman_III_13_18,DSR,0.9740746407064996,7928.896033129634,False
feynman_III_13_18,DSR,0.9738299183236844,7964.965799988172,False
feynman_III_13_18,DSR,0.972385880921433,8395.058935219635,False
feynman_III_13_18,DSR,0.9746174455991876,7756.326019633286,False
feynman_III_13_18,DSR,0.4526236746830538,165232.71314581137,False
feynman_III_13_18,DSR,0.9726321256174558,8660.469894850112,False
feynman_III_13_18,EPLEX,0.9823327540534682,5732.309595886577,False
feynman_III_13_18,EPLEX,0.9999999975511026,0.0007722316549065,False
feynman_III_13_18,EPLEX,0.9955182941118358,1370.6649013434503,False
feynman_III_13_18,EPLEX,0.9973135206531016,817.6404026963941,False
feynman_III_13_18,EPLEX,0.9849161922887992,4585.677868005366,False
feynman_III_13_18,EPLEX,0.9993626048425878,201.7015093950068,False
feynman_III_13_18,EPLEX,0.9999999999999674,9.987101354804873e-09,False
feynman_III_13_18,EPLEX,0.9937115457415802,1898.252281938568,False
feynman_III_13_18,FEAT,0.9949938442419723,1624.2958736801588,False
feynman_III_13_18,FEAT,0.9606660185962425,12019.561884913006,False
feynman_III_13_18,FEAT,0.9912146516094787,2686.871692487167,False
feynman_III_13_18,FEAT,0.9942955153827528,1798.8436414436364,False
feynman_III_13_18,FEAT,0.982528270499265,5317.58859835513,False
feynman_III_13_18,FEAT,0.998453395028502,489.41783375864543,False
feynman_III_13_18,FEAT,0.9580398033951106,12666.234925566094,False
